OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ALOS (DAICHI),2006-002A,2026-05-18T03:22:55.238304,14.69982458,.0002195,98.1311,93.8072,81.9031,278.2424,0,U,28931,999,8368,.11345E-3,.63E-5,0
H-2A R/B,2006-002B,2026-05-17T09:36:19.540224,15.17666251,.00510325,98.2530,290.4611,9.0175,351.1961,0,U,28932,999,10485,.20374506E-3,.4159E-4,0
RESURS-DK 1,2006-021A,2026-05-18T03:43:35.141376,15.13076683,.0004905,69.9320,57.2868,328.4276,31.6595,0,U,29228,999,9803,.75058E-4,.1223E-4,0
CZ-4B R/B,2006-046C,2026-05-18T01:20:11.459616,15.17529515,.0033451,97.5473,182.7582,29.7914,330.5214,0,U,29507,999,7056,.16337E-3,.3253E-4,0
CZ-2C R/B,2007-010B,2026-05-18T04:33:04.290336,14.20268302,.0060196,98.4067,248.0129,92.2326,268.5746,0,U,31114,999,98958,.47449E-4,.63E-6,0
COSMO-SKYMED 1,2007-023A,2026-05-18T04:34:13.340352,14.96943153,.0001182,97.8855,329.7970,93.4929,266.6427,0,U,31598,999,2530,.13028E-3,.1437E-4,0
COSMOS 2428,2007-029A,2026-05-18T04:43:47.169408,14.12937605,.0007898,70.9397,57.4422,190.7789,169.3164,0,U,31792,999,97391,-.10886E-3,-.251E-5,0
SL-16 R/B,2007-029B,2026-05-18T01:41:26.403936,14.14850348,.0002789,70.9774,26.5394,267.5504,196.6665,0,U,31793,999,97518,-.10037E-3,-.242E-5,0
KORONAS-FOTON,2009-003A,2026-05-18T03:55:23.593728,15.45042683,.0008848,82.4309,203.5608,259.5319,100.4932,0,U,33504,999,95646,.1604E-3,.7619E-4,0
CZ-2C R/B,2011-030B,2026-05-18T02:38:08.905920,14.81394232,.0053643,97.8640,94.0451,123.4479,247.7994,0,U,37731,999,80037,.82073E-4,.603E-5,0
H-2A R/B,2012-025E,2026-05-17T20:24:24.234336,14.95535068,.00454591,98.4814,110.5043,86.5495,274.0922,0,U,38341,999,75855,.14092423E-3,.1524E-4,0
SHIJIAN-16 (SJ-16),2013-057A,2026-05-18T03:26:34.963008,14.92529460,.0016913,74.9744,53.5822,299.6271,60.3232,0,U,39358,999,68186,.14205E-3,.1434E-4,0
SL-4 R/B,2014-021B,2026-05-18T01:11:12.442848,15.41217891,.0092102,51.6071,358.3356,356.5643,3.4699,0,U,39679,999,66696,.17506E-3,.8138E-4,0
ALOS-2,2014-029A,2026-05-18T05:53:26.035008,14.79480297,.0001593,97.9229,235.8370,89.8886,270.2508,0,U,39766,999,64715,.2004E-3,.1446E-4,0
YAOGAN-29,2015-069A,2026-05-18T03:42:06.112224,14.83056746,.000288,98.0043,166.7374,104.5884,255.5649,0,U,41038,999,56617,.13646E-4,.57E-6,0
ASTRO-H (HITOMI),2016-012A,2026-05-18T00:46:38.528832,15.10378342,.0009607,30.9993,268.9186,309.6993,50.2798,0,U,41337,999,56272,.91459E-4,.1635E-4,0
